config,seed,output_file,log_file,best_solution,time_found,bit_count,selected_size,a_count,c_count,g_count,t_count,count_min1,count_min2,count_min3,count_min4,min_sum,max_sum
legacy_redumis,183,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_183.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_183.txt,136,50021.3,17440,136,200,248,296,344,200,248,296,344,8,19
legacy_redumis,184,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_184.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_184.txt,136,50017.6,17440,136,198,246,298,346,198,246,298,346,7,19
legacy_redumis,185,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_185.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_185.txt,129,50039.1,17440,129,199,241,275,317,199,241,275,317,7,19
legacy_redumis,186,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_186.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_186.txt,136,50015.7,17440,136,214,258,286,330,214,258,286,330,8,19
legacy_redumis,187,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_187.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_187.txt,136,50020.2,17440,136,220,248,296,324,220,248,296,324,7,19
legacy_redumis,188,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_188.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_188.txt,136,50024.1,17440,136,198,242,302,346,198,242,302,346,9,20
legacy_redumis,189,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_189.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_189.txt,136,50032.8,17440,136,224,240,304,320,224,240,304,320,6,19
legacy_redumis,190,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_190.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_190.txt,136,50018.8,17440,136,212,248,296,332,212,248,296,332,7,20
legacy_redumis,191,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_191.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_191.txt,136,50022.8,17440,136,208,248,296,336,208,248,296,336,8,20
legacy_redumis,192,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_192.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_192.txt,136,50025.0,17440,136,204,260,284,340,204,260,284,340,8,19
