config,seed,output_file,log_file,best_solution,time_found,bit_count,selected_size,a_count,c_count,g_count,t_count,count_min1,count_min2,count_min3,count_min4,min_sum,max_sum
full_standard,137,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed137.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed137.log,136,13211.6,17440,136,208,232,312,336,208,232,312,336,7,19
full_standard,138,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed138.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed138.log,136,11703.6,17440,136,218,254,290,326,218,254,290,326,8,19
full_standard,139,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed139.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed139.log,136,10172.1,17440,136,222,250,294,322,222,250,294,322,9,19
full_standard,140,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed140.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed140.log,136,9298.47,17440,136,202,254,290,342,202,254,290,342,7,19
full_standard,141,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed141.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed141.log,136,5324.36,17440,136,204,240,304,340,204,240,304,340,8,20
full_standard,142,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed142.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed142.log,136,23494.3,17440,136,204,252,292,340,204,252,292,340,6,20
full_standard,143,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed143.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed143.log,136,3254.3,17440,136,198,242,302,346,198,242,302,346,8,20
full_standard,144,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed144.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed144.log,136,15580.4,17440,136,208,252,292,336,208,252,292,336,8,20
full_standard,145,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed145.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed145.log,136,11221.0,17440,136,196,260,284,348,196,260,284,348,8,20
full_standard,146,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed146.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed146.log,136,13242.5,17440,136,200,248,296,344,200,248,296,344,6,19
full_standard,147,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed147.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed147.log,136,7169.41,17440,136,198,246,298,346,198,246,298,346,7,20
full_standard,148,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed148.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed148.log,136,19532.0,17440,136,222,246,298,322,222,246,298,322,8,20
full_standard,149,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed149.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed149.log,136,2573.47,17440,136,202,254,290,342,202,254,290,342,8,18
full_standard,150,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed150.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed150.log,136,21623.8,17440,136,210,258,286,334,210,258,286,334,7,20
full_standard,151,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed151.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed151.log,136,14935.0,17440,136,196,252,292,348,196,252,292,348,7,20
full_standard,152,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed152.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed152.log,136,14612.6,17440,136,208,256,288,336,208,256,288,336,7,20
full_standard,153,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed153.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed153.log,136,1781.13,17440,136,196,252,292,348,196,252,292,348,7,19
full_standard,154,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed154.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed154.log,136,7385.07,17440,136,210,250,294,334,210,250,294,334,8,19
full_standard,155,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed155.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed155.log,136,22599.0,17440,136,196,256,288,348,196,256,288,348,7,19
full_standard,156,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed156.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed156.log,136,19903.2,17440,136,196,248,296,348,196,248,296,348,8,20
full_standard,157,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed157.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed157.log,136,8905.36,17440,136,214,242,302,330,214,242,302,330,9,20
full_standard,158,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed158.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed158.log,136,9331.53,17440,136,192,252,292,352,192,252,292,352,7,19
full_standard,159,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed159.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed159.log,136,29670.2,17440,136,206,248,296,338,206,248,296,338,9,19
full_standard,160,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed160.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed160.log,136,16623.3,17440,136,192,248,296,352,192,248,296,352,8,20
full_standard,161,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed161.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed161.log,136,10231.2,17440,136,222,250,294,322,222,250,294,322,9,19
full_standard,162,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed162.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed162.log,136,12794.4,17440,136,210,246,298,334,210,246,298,334,8,20
full_standard,163,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed163.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed163.log,136,2240.49,17440,136,194,254,290,350,194,254,290,350,8,19
full_standard,164,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed164.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed164.log,136,19387.8,17440,136,204,252,292,340,204,252,292,340,7,20
full_standard,165,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed165.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed165.log,136,2572.59,17440,136,192,256,288,352,192,256,288,352,9,19
full_standard,166,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed166.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed166.log,136,7983.8,17440,136,198,238,306,346,198,238,306,346,6,20
full_standard,167,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed167.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed167.log,136,4501.41,17440,136,198,234,310,346,198,234,310,346,8,19
full_standard,168,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed168.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed168.log,136,21972.6,17440,136,208,248,296,336,208,248,296,336,7,20
full_standard,169,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed169.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed169.log,136,16512.4,17440,136,208,256,288,336,208,256,288,336,8,20
full_standard,170,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed170.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed170.log,136,9368.37,17440,136,208,232,312,336,208,232,312,336,8,19
full_standard,171,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed171.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed171.log,136,14579.4,17440,136,198,250,294,346,198,250,294,346,8,20
full_standard,172,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed172.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed172.log,136,9828.22,17440,136,210,258,286,334,210,258,286,334,7,19
full_standard,173,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed173.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed173.log,136,12437.9,17440,136,206,246,298,338,206,246,298,338,7,20
full_standard,174,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed174.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed174.log,136,11209.8,17440,136,218,242,302,326,218,242,302,326,7,19
full_standard,175,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed175.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed175.log,136,12288.7,17440,136,202,254,290,342,202,254,290,342,9,20
full_standard,176,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed176.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed176.log,136,13867.4,17440,136,206,250,294,338,206,250,294,338,8,19
full_standard,177,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed177.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed177.log,136,5224.57,17440,136,194,248,296,350,194,248,296,350,8,20
full_standard,178,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed178.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed178.log,136,14945.8,17440,136,210,250,294,334,210,250,294,334,8,20
full_standard,180,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed180.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed180.log,136,5126.88,17440,136,194,246,298,350,194,246,298,350,8,19
full_standard,181,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed181.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed181.log,136,9686.57,17440,136,196,252,292,348,196,252,292,348,7,20
full_standard,183,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed183.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed183.log,136,5359.68,17440,136,196,242,302,348,196,242,302,348,6,19
full_standard,184,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed184.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed184.log,136,8692.36,17440,136,202,258,286,342,202,258,286,342,7,19
full_standard,185,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed185.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed185.log,136,8085.62,17440,136,200,240,304,344,200,240,304,344,7,19
full_standard,186,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed186.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed186.log,136,8343.92,17440,136,188,256,288,356,188,256,288,356,8,19
full_standard,188,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed188.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed188.log,136,2570.09,17440,136,202,246,298,342,202,246,298,342,6,20
full_standard,191,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed191.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed191.log,136,7016.78,17440,136,216,252,292,328,216,252,292,328,8,19
full_standard,194,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed194.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed194.log,136,926.419,17440,136,186,244,300,358,186,244,300,358,8,20
full_standard,195,codex/runs/20260226_103743_campaign_stream_seed100_to_499/results/full_standard_seed195.txt,codex/runs/20260226_103743_campaign_stream_seed100_to_499/logs/full_standard_seed195.log,136,4240.82,17440,136,214,254,290,330,214,254,290,330,7,19
